x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0.085923218,0.094,601.9635237,601.9635237,,,,,,,,,,,
0.086757991,0.095,602.7211704,602.7211704,,,,,,,,,,,
0.087591241,0.096,603.4793388,603.4793388,,,,,,,,,,,
0.088422972,0.097,604.2380296,604.2380296,,,,,,,,,,,
0.089253188,0.098,604.9972433,604.9972433,,,,,,,,,,,
0.090081893,0.099,605.7569804,605.7569804,,,,,,,,,,,
0.090909091,0.1,606.5172414,606.5172414,,,,,,,,,,,
0.091734787,0.101,607.2780269,607.2780269,,,,,,,,,,,
0.092558984,0.102,608.0393375,608.0393375,,,,,,,,,,,
0.093381686,0.103,608.8011736,608.8011736,,,,,,,,,,,
0.094202899,0.104,609.5635359,609.5635359,,,,,,,,,,,
0.095022624,0.105,610.3264249,610.3264249,,,,,,,,,,,
0.095840868,0.106,611.0898411,611.0898411,,,,,,,,,,,
0.096657633,0.107,611.853785,611.853785,,,,,,,,,,,
0.097472924,0.108,612.6182573,612.6182573,,,,,,,,,,,
0.098286745,0.109,613.3832584,613.3832584,,,,,,,,,,,
0.099099099,0.11,614.1487889,614.1487889,,,,,,,,,,,
0.099909991,0.111,614.9148494,614.9148494,,,,,,,,,,,
0.100719424,0.112,615.6814404,615.6814404,,,,,,,,,,,
0.101527403,0.113,616.4485625,616.4485625,,,,,,,,,,,
0.102333932,0.114,617.2162162,617.2162162,,,,,,,,,,,
0.103139013,0.115,617.9844021,617.9844021,,,,,,,,,,,
0.103942652,0.116,618.7531207,618.7531207,,,,,,,,,,,
0.104744852,0.117,619.5223725,619.5223725,,,,,,,,,,,
0.105545617,0.118,620.2921582,620.2921582,,,,,,,,,,,
0.106344951,0.119,621.0624783,621.0624783,,,,,,,,,,,
0.107142857,0.12,621.8333333,621.8333333,,,,,,,,,,,
0.10793934,0.121,622.6047239,622.6047239,,,,,,,,,,,
0.108734403,0.122,623.3766505,623.3766505,,,,,,,,,,,
0.10952805,0.123,624.1491137,624.1491137,,,,,,,,,,,
0.110320285,0.124,624.922114,624.922114,,,,,,,,,,,
0.111111111,0.125,625.6956522,625.6956522,,,,,,,,,,,
0.111900533,0.126,626.4697286,626.4697286,,,,,,,,,,,
0.112688554,0.127,627.2443439,627.2443439,,,,,,,,,,,
0.113475177,0.128,628.0194986,628.0194986,,,,,,,,,,,
0.114260407,0.129,628.7951933,628.7951933,,,,,,,,,,,
0.115044248,0.13,629.5714286,629.5714286,,,,,,,,,,,
0.115826702,0.131,630.3482049,630.3482049,,,,,,,,,,,
0.116607774,0.132,631.125523,631.125523,,,,,,,,,,,
0.117387467,0.133,631.9033833,631.9033833,,,,,,,,,,,
0.118165785,0.134,632.6817865,632.6817865,,,,,,,,,,,
0.118942731,0.135,633.460733,633.460733,,,,,,,,,,,
0.11971831,0.136,634.2402235,634.2402235,,,,,,,,,,,
0.120492524,0.137,635.0202585,635.0202585,,,,,,,,,,,
0.121265378,0.138,635.8008386,635.8008386,,,,,,,,,,,
0.122036874,0.139,636.5819643,636.5819643,,,,,,,,,,,
0.122807018,0.14,637.3636364,637.3636364,,,,,,,,,,,
0.123575811,0.141,638.1458552,638.1458552,,,,,,,,,,,
0.124343257,0.142,638.9286214,638.9286214,,,,,,,,,,,
0.125109361,0.143,639.7119356,639.7119356,,,,,,,,,,,
0.125874126,0.144,640.4957983,640.4957983,,,,,,,,,,,
0.126637555,0.145,641.2802102,641.2802102,,,,,,,,,,,
0.127399651,0.146,642.0651717,642.0651717,,,,,,,,,,,
0.128160418,0.147,642.8506835,642.8506835,,,,,,,,,,,
0.128919861,0.148,643.6367461,643.6367461,,,,,,,,,,,
0.129677981,0.149,644.4233602,644.4233602,,,,,,,,,,,
0.130434783,0.15,645.2105263,645.2105263,,,,,,,,,,,
0.131190269,0.151,645.998245,645.998245,,,,,,,,,,,
0.131944444,0.152,646.7865169,646.7865169,,,,,,,,,,,
0.132697311,0.153,647.5753425,647.5753425,,,,,,,,,,,
0.133448873,0.154,648.3647224,648.3647224,,,,,,,,,,,
0.134199134,0.155,649.1546573,649.1546573,,,,,,,,,,,
0.134948097,0.156,649.9451477,649.9451477,,,,,,,,,,,
0.135695765,0.157,650.7361942,650.7361942,,,,,,,,,,,
0.136442142,0.158,651.5277973,651.5277973,,,,,,,,,,,
0.13718723,0.159,652.3199578,652.3199578,,,,,,,,,,,
0.137931034,0.16,653.1126761,653.1126761,,,,,,,,,,,
0.138673557,0.161,653.9059528,653.9059528,,,,,,,,,,,
0.139414802,0.162,654.6997886,654.6997886,,,,,,,,,,,
0.140154772,0.163,655.494184,655.494184,,,,,,,,,,,
0.140893471,0.164,656.2891396,656.2891396,,,,,,,,,,,
0.141630901,0.165,657.0846561,657.0846561,,,,,,,,,,,
0.142367067,0.166,657.8807339,657.8807339,,,,,,,,,,,
0.143101971,0.167,658.6773738,658.6773738,,,,,,,,,,,
0.143835616,0.168,659.4745763,659.4745763,,,,,,,,,,,
0.144568007,0.169,660.2723419,660.2723419,,,,,,,,,,,
0.145299145,0.17,661.0706714,661.0706714,,,,,,,,,,,
0.146029035,0.171,661.8695652,661.8695652,,,,,,,,,,,
0.146757679,0.172,662.669024,662.669024,,,,,,,,,,,
0.147485081,0.173,663.4690485,663.4690485,,,,,,,,,,,
0.148211244,0.174,664.2696391,664.2696391,,,,,,,,,,,
0.14893617,0.175,665.0707965,665.0707965,,,,,,,,,,,
0.149659864,0.176,665.8725212,665.8725212,,,,,,,,,,,
0.150382328,0.177,666.674814,666.674814,,,,,,,,,,,
0.151103565,0.178,667.4776754,667.4776754,,,,,,,,,,,
0.151823579,0.179,668.281106,668.281106,,,,,,,,,,,
0.152542373,0.18,669.0851064,669.0851064,,,,,,,,,,,
0.153259949,0.181,669.8896772,669.8896772,,,,,,,,,,,
0.153976311,0.182,670.694819,670.694819,,,,,,,,,,,
0.154691462,0.183,671.5005325,671.5005325,,,,,,,,,,,
0.155405405,0.184,672.3068182,672.3068182,,,,,,,,,,,
0.156118143,0.185,673.1136767,673.1136767,,,,,,,,,,,
0.15682968,0.186,673.9211087,673.9211087,,,,,,,,,,,
0.157540017,0.187,674.7291148,674.7291148,,,,,,,,,,,
