x,R,m,model,,,,,,,,,
0.13718723,0.159,63.56880596,62.38580762,,,,,,,,,
0.137931034,0.16,63.71926298,62.53039103,,,,,,,,,
0.138673557,0.161,63.86725608,62.67321501,,,,,,,,,
0.139414802,0.162,64.01275525,62.81426679,,,,,,,,,
0.140154772,0.163,64.15573094,62.95353393,,,,,,,,,
0.140893471,0.164,64.29615405,63.09100434,,,,,,,,,
0.141630901,0.165,64.43399599,63.22666626,,,,,,,,,
0.142367067,0.166,64.56922863,63.36050828,,,,,,,,,
0.143101971,0.167,64.70182436,63.49251933,,,,,,,,,
0.143835616,0.168,64.83175603,63.62268869,,,,,,,,,
0.144568007,0.169,64.95899706,63.75100597,,,,,,,,,
0.145299145,0.17,65.08352134,63.87746113,,,,,,,,,
0.146029035,0.171,65.20530331,64.00204447,,,,,,,,,
0.146757679,0.172,65.32431794,64.12474663,,,,,,,,,
0.147485081,0.173,65.44054074,64.2455586,,,,,,,,,
0.148211244,0.174,65.55394778,64.3644717,,,,,,,,,
0.14893617,0.175,65.66451567,64.48147759,,,,,,,,,
0.149659864,0.176,65.77222159,64.59656829,,,,,,,,,
0.150382328,0.177,65.8770433,64.70973615,,,,,,,,,
0.151103565,0.178,65.97895912,64.82097385,,,,,,,,,
0.151823579,0.179,66.07794797,64.93027441,,,,,,,,,
0.152542373,0.18,66.17398935,65.03763121,,,,,,,,,
0.153259949,0.181,66.26706335,65.14303793,,,,,,,,,
0.153976311,0.182,66.35715069,65.24648863,,,,,,,,,
0.154691462,0.183,66.44423267,65.34797766,,,,,,,,,
0.155405405,0.184,66.52829121,65.44749975,,,,,,,,,
0.156118143,0.185,66.60930886,65.54504991,,,,,,,,,
0.15682968,0.186,66.68726879,65.64062354,,,,,,,,,
0.157540017,0.187,66.76215478,65.73421632,,,,,,,,,
0.158249158,0.188,66.83395129,65.82582429,,,,,,,,,
0.158957107,0.189,66.90264337,65.91544381,,,,,,,,,
0.159663866,0.19,66.96821675,66.00307155,,,,,,,,,
0.160369437,0.191,67.03065779,66.08870453,,,,,,,,,
0.161073826,0.192,67.08995351,66.17234007,,,,,,,,,
0.161777033,0.193,67.14609159,66.25397583,,,,,,,,,
0.162479062,0.194,67.19906037,66.33360977,,,,,,,,,
0.163179916,0.195,67.24884884,66.41124019,,,,,,,,,
0.163879599,0.196,67.29544668,66.48686567,,,,,,,,,
0.164578112,0.197,67.33884424,66.56048515,,,,,,,,,
0.165275459,0.198,67.37903252,66.63209784,,,,,,,,,
0.165971643,0.199,67.41600323,66.70170329,,,,,,,,,
0.166666667,0.2,67.44974874,66.76930132,,,,,,,,,
0.167360533,0.201,67.48026212,66.83489211,,,,,,,,,
0.168053245,0.202,67.5075371,66.89847608,,,,,,,,,
0.168744805,0.203,67.53156813,66.96005399,,,,,,,,,
0.169435216,0.204,67.55235034,67.0196269,,,,,,,,,
0.170124481,0.205,67.56987953,67.07719613,,,,,,,,,
0.170812604,0.206,67.58415222,67.13276334,,,,,,,,,
0.171499586,0.207,67.59516562,67.18633044,,,,,,,,,
0.17218543,0.208,67.60291764,67.23789964,,,,,,,,,
0.172870141,0.209,67.60740689,67.28747346,,,,,,,,,
0.173553719,0.21,67.60863266,67.33505465,,,,,,,,,
0.174236168,0.211,67.60659496,67.3806463,,,,,,,,,
0.174917492,0.212,67.6012945,67.42425173,,,,,,,,,
0.175597692,0.213,67.5927327,67.46587455,,,,,,,,,
0.176276771,0.214,67.58091166,67.50551865,,,,,,,,,
0.176954733,0.215,67.5658342,67.54318818,,,,,,,,,
0.177631579,0.216,67.54750384,67.57888756,,,,,,,,,
0.178307313,0.217,67.5259248,67.61262146,,,,,,,,,
0.178981938,0.218,67.50110202,67.64439482,,,,,,,,,
0.179655455,0.219,67.47304112,67.67421283,,,,,,,,,
0.180327869,0.22,67.44174844,67.70208095,,,,,,,,,
0.180999181,0.221,67.407231,67.72800487,,,,,,,,,
0.181669394,0.222,67.36949655,67.75199053,,,,,,,,,
0.182338512,0.223,67.32855353,67.77404413,,,,,,,,,
0.183006536,0.224,67.28441107,67.7941721,,,,,,,,,
0.183673469,0.225,67.23707901,67.8123811,,,,,,,,,
0.184339315,0.226,67.18656788,67.82867803,,,,,,,,,
0.185004075,0.227,67.13288891,67.84307004,,,,,,,,,
0.185667752,0.228,67.07605402,67.85556447,,,,,,,,,
0.18633035,0.229,67.01607584,67.86616892,,,,,,,,,
0.18699187,0.23,66.95296766,67.8748912,,,,,,,,,
0.187652315,0.231,66.88674348,67.88173932,,,,,,,,,
0.188311688,0.232,66.817418,67.88672154,,,,,,,,,
0.188969992,0.233,66.74500656,67.88984629,,,,,,,,,
0.189627229,0.234,66.66952522,67.89112225,,,,,,,,,
0.190283401,0.235,66.59099071,67.89055828,,,,,,,,,
0.190938511,0.236,66.50942044,67.88816344,,,,,,,,,
0.191592563,0.237,66.42483248,67.88394699,,,,,,,,,
0.192245557,0.238,66.33724559,67.8779184,,,,,,,,,
0.192897498,0.239,66.24667917,67.87008732,,,,,,,,,
0.193548387,0.24,66.15315332,67.86046358,,,,,,,,,
0.194198227,0.241,66.05668878,67.8490572,,,,,,,,,
0.194847021,0.242,65.95730694,67.83587839,,,,,,,,,
0.195494771,0.243,65.85502987,67.82093752,,,,,,,,,
0.196141479,0.244,65.74988026,67.80424515,,,,,,,,,
0.196787149,0.245,65.64188148,67.785812,,,,,,,,,
0.197431782,0.246,65.5310575,67.76564897,,,,,,,,,
0.198075381,0.247,65.41743296,67.74376711,,,,,,,,,
0.198717949,0.248,65.30103313,67.72017764,,,,,,,,,
0.199359488,0.249,65.18188389,67.69489192,,,,,,,,,
0.2,0.25,65.10390383,67.6856302,,,,,,,,,
0.200639488,0.251,65.05272025,67.6769954,,,,,,,,,
0.201277955,0.252,65.00109332,67.66818235,,,,,,,,,
0.201915403,0.253,64.94902536,67.65919218,,,,,,,,,
0.202551834,0.254,64.89651866,67.65002599,,,,,,,,,
0.203187251,0.255,64.84357556,67.64068487,,,,,,,,,
0.203821656,0.256,64.79019841,67.63116992,,,,,,,,,
0.204455052,0.257,64.73638956,67.62148223,,,,,,,,,
0.20508744,0.258,64.68215138,67.61162289,,,,,,,,,
0.205718824,0.259,64.62748627,67.60159299,,,,,,,,,
0.206349206,0.26,64.57239663,67.59139361,,,,,,,,,
0.206978588,0.261,64.51688487,67.58102583,,,,,,,,,
0.207606973,0.262,64.46095343,67.57049073,,,,,,,,,
0.208234363,0.263,64.40460474,67.55978937,,,,,,,,,
0.208860759,0.264,64.34784128,67.54892283,,,,,,,,,
0.209486166,0.265,64.29066551,67.53789217,,,,,,,,,
0.210110585,0.266,64.23307992,67.52669844,,,,,,,,,
0.210734017,0.267,64.17508701,67.51534273,,,,,,,,,
0.211356467,0.268,64.1166893,67.50382606,,,,,,,,,
0.211977935,0.269,64.05788932,67.4921495,,,,,,,,,
0.212598425,0.27,63.9986896,67.48031408,,,,,,,,,
0.213217939,0.271,63.93909269,67.46832087,,,,,,,,,
0.213836478,0.272,63.87910118,67.45617089,,,,,,,,,
0.214454046,0.273,63.81871763,67.44386518,,,,,,,,,
0.215070644,0.274,63.75794465,67.43140477,,,,,,,,,
0.215686275,0.275,63.69678484,67.41879069,,,,,,,,,
0.21630094,0.276,63.63524081,67.40602397,,,,,,,,,
